Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.fasterxml.jackson.core:jackson-core,True,0.0,0.0,2
com.fasterxml.jackson.core:jackson-databind,True,0.0,0.0,4
com.github.xgp:kitchen-sink,False,0.0,0.0,5
com.google.guava:guava,False,0.0,0.0,7
jakarta.persistence:jakarta.persistence-api,False,0.5,9.0,18
jakarta.ws.rs:jakarta.ws.rs-api,False,0.0,0.0,21
org.apache.httpcomponents:httpcore,True,0.0,0.0,27
org.hibernate.orm:hibernate-core,True,0.0,0.0,1
org.keycloak:keycloak-core,True,0.0,0.0,2
org.keycloak:keycloak-model-jpa,False,0.0,0.0,9
org.keycloak:keycloak-server-spi,False,0.0,0.0,59
org.keycloak:keycloak-server-spi-private,False,0.0,0.0,78
org.keycloak:keycloak-services,False,0.0,0.0,29
