Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.alibaba:druid,True,0.0,0.0,15
com.alibaba:druid-spring-boot-starter,False,0.0,0.0,4
com.github.oshi:oshi-core,False,0.0,0.0,24
javax.servlet:servlet-api,True,0.0,0.0,15
org.aspectj:aspectjweaver,True,0.0,0.0,10
org.slf4j:slf4j-api,True,0.0,0.0,4
org.springframework.boot:spring-boot,True,0.0,0.0,8
org.springframework.boot:spring-boot-autoconfigure,True,0.0,0.0,1
org.springframework:spring-beans,True,0.0,0.0,5
org.springframework:spring-context,True,0.0,0.0,17
org.springframework:spring-core,True,0.0,0.0,24
org.springframework:spring-jdbc,True,0.0,0.0,4
org.springframework:spring-web,True,0.0,0.0,31
org.springframework:spring-webmvc,True,0.0,0.0,20
pro.fessional:kaptcha,False,0.0,0.0,6
