project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
dromara__forest,forest-core,commons-codec:commons-codec,1.15,1.11,2,2,compile,compile,version_managed
dromara__forest,forest-core,net.minidev:json-smart,2.4.11,2.5.0,2,2,runtime,runtime,version_managed
dromara__forest,forest-core,com.google.errorprone:error_prone_annotations,2.27.0,2.18.0,2,2,provided,provided,omitted_conflict
dromara__forest,forest-core,org.jetbrains.kotlin:kotlin-test,1.6.21,1.9.23,2,2,test,test,version_managed
dromara__forest,forest-core,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm,1.6.4,1.10.1,2,2,provided,provided,version_managed
dromara__forest,forest-core,org.hamcrest:hamcrest-core,2.2,1.3,2,2,provided,provided,version_managed
dromara__forest,forest-core,io.netty:netty-buffer,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-dns,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-haproxy,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-http,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-http2,4.1.101.Final,4.1.115.Final,2,2,provided,provided,version_managed
dromara__forest,forest-core,io.netty:netty-codec-memcache,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-mqtt,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-redis,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-smtp,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-socks,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-stomp,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-codec-xml,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-common,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-handler,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-transport-native-unix-common,4.1.101.Final,4.1.115.Final,2,2,test,test,version_managed
dromara__forest,forest-core,io.netty:netty-handler-proxy,4.1.101.Final,4.1.115.Final,2,2,provided,provided,version_managed
