project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
kingston-csj__jforgame,jforgame-codec-api,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
kingston-csj__jforgame,jforgame-commons,com.fasterxml.jackson.core:jackson-annotations,2.13.1,2.16.1,2,2,compile,compile,version_managed
kingston-csj__jforgame,jforgame-commons,com.fasterxml.jackson.core:jackson-core,2.13.1,2.16.1,2,2,compile,compile,version_managed
kingston-csj__jforgame,jforgame-commons,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
kingston-csj__jforgame,jforgame-doctor,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
kingston-csj__jforgame,jforgame-hotswap-agent,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
jforgame-codec-api,5,,,,,,,,
jforgame-commons,8,,,,,,,,
jforgame-doctor,7,,,,,,,,
jforgame-hotswap-agent,5,,,,,,,,
