project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
mockserver,mockserver-client-java,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
mockserver,mockserver-core,org.apache.httpcomponents:httpclient,4.5.14,4.5.13,4,4,compile,compile,version_managed
mockserver,mockserver-core,org.mozilla:rhino,1.7.14,1.7.7.2,6,6,compile,compile,version_managed
mockserver,mockserver-core,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.14.2,2.14.0,3,3,compile,compile,version_managed
mockserver,mockserver-examples,commons-codec:commons-codec,1.15,1.11,2,2,compile,compile,version_managed
mockserver,mockserver-examples,com.fasterxml.jackson.core:jackson-annotations,2.14.2,2.13.3,2,2,compile,compile,version_managed
mockserver,mockserver-examples,com.google.errorprone:error_prone_annotations,2.18.0,2.16,2,2,compile,compile,version_managed
mockserver,mockserver-examples,org.jetbrains.kotlin:kotlin-stdlib,1.8.10,1.6.20,2,2,compile,compile,version_managed
mockserver,mockserver-examples,org.jetbrains.kotlin:kotlin-stdlib-common,1.8.10,1.5.31,3,3,compile,compile,version_managed
mockserver,mockserver-examples,org.jetbrains:annotations,24.0.0,13.0,3,3,compile,compile,version_managed
mockserver,mockserver-examples,org.yaml:snakeyaml,1.33,1.30,3,3,compile,compile,version_managed
mockserver,mockserver-examples,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.14.2,2.13.4,3,3,compile,compile,version_managed
mockserver,mockserver-examples,io.netty:netty-codec-http2,4.1.89.Final,4.1.86.Final,4,4,compile,compile,version_managed
mockserver,mockserver-examples,io.projectreactor:reactor-core,3.5.3,3.4.26,3,3,compile,compile,version_managed
mockserver,mockserver-examples,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
mockserver,mockserver-integration-testing,commons-codec:commons-codec,1.15,1.11,2,2,compile,compile,version_managed
mockserver,mockserver-integration-testing,org.hamcrest:hamcrest-core,2.2,1.3,2,2,compile,compile,version_managed
mockserver,mockserver-junit-rule,org.hamcrest:hamcrest-core,2.2,1.3,2,2,compile,compile,version_managed
mockserver,mockserver-netty,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
mockserver,mockserver-proxy-war,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
mockserver,mockserver-spring-test-listener,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
mockserver,mockserver-testing,org.hamcrest:hamcrest-core,2.2,1.3,2,2,compile,compile,version_managed
mockserver,mockserver-war,org.hamcrest:hamcrest-core,2.2,1.3,2,2,test,test,version_managed
