project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
ORCID__ORCID-Source,orcid-api-common,org.springframework:spring-core,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.springframework:spring-beans,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.springframework:spring-context,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.springframework:spring-expression,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,com.fasterxml.jackson.core:jackson-annotations,2.13.1,2.8.10,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,com.fasterxml.jackson.core:jackson-databind,2.13.1,2.8.10,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.springframework:spring-web,5.3.20,4.3.4.RELEASE,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.hibernate:hibernate-validator,5.4.3.Final,5.2.4.Final,4,4,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.jboss.logging:jboss-logging,3.4.1.Final,3.3.0.Final,2,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,com.fasterxml:classmate,1.5.1,1.3.1,3,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.javassist:javassist,3.22.0-CR2,3.27.0-GA,3,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,net.bytebuddy:byte-buddy,1.10.5,1.10.17,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.jboss.logging:jboss-logging,3.4.1.Final,3.3.2.Final,2,4,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,commons-io:commons-io,2.7,2.11.0,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,commons-codec:commons-codec,1.9,1.15,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.apache.commons:commons-lang3,3.2,3.12.0,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.slf4j:jcl-over-slf4j,1.7.35,1.7.32,2,3,compile,runtime,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.apache.httpcomponents:httpcore,4.4.4,4.4.13,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.slf4j:slf4j-api,1.7.35,1.7.28,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,javax.annotation:javax.annotation-api,1.2,1.3.2,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.jbibtex:jbibtex,1.0.7,1.0.8,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-common,org.slf4j:slf4j-api,1.7.35,1.7.36,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.slf4j:slf4j-api,1.7.35,1.7.36,2,2,compile,test,omitted_conflict
ORCID__ORCID-Source,orcid-api-common,org.slf4j:slf4j-api,1.7.35,1.7.25,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-api-web,org.springframework:spring-aop,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,org.springframework:spring-beans,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,org.springframework:spring-context,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,org.springframework:spring-core,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,org.springframework:spring-webmvc,5.3.20,4.3.30.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,commons-codec:commons-codec,1.9,1.14,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-api-web,org.slf4j:slf4j-api,1.7.36,1.7.25,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,com.fasterxml.jackson.core:jackson-core,2.13.1,2.14.1,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,com.fasterxml.jackson.core:jackson-databind,2.13.1,2.14.1,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,com.google.guava:guava,32.0.0-jre,31.1-jre,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,jakarta.activation:jakarta.activation-api,2.1.0,1.2.2,1,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.javassist:javassist,3.19.0-GA,3.25.0-GA,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,2.14.1,2.14.0,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,jakarta.xml.bind:jakarta.xml.bind-api,2.3.3,2.3.2,1,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.35,2,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.springframework:spring-webmvc,5.3.20,4.3.30.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,org.springframework.security:spring-security-core,5.6.2,4.2.20.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,org.springframework.security:spring-security-config,5.6.2,4.2.20.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,org.springframework.security:spring-security-web,5.6.2,4.2.20.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,jakarta.activation:jakarta.activation-api,2.1.0,1.2.2,1,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.apache.httpcomponents:httpcore,4.4.4,4.4.13,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,javax.mail:mail,1.4.4,1.4.7,1,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.13,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.jbibtex:jbibtex,1.0.7,1.0.8,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.36,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.36,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.36,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.36,2,2,compile,test,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.30,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-core,org.slf4j:slf4j-api,1.6.6,1.7.25,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-internal-api,org.springframework:spring-aop,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,org.springframework:spring-beans,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,org.springframework:spring-context,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,org.springframework:spring-core,5.3.20,5.3.16,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,net.bytebuddy:byte-buddy,1.10.5,1.8.15,2,2,test,test,version_managed
ORCID__ORCID-Source,orcid-internal-api,commons-codec:commons-codec,1.9,1.10,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,com.google.guava:guava,32.0.0-jre,25.0-jre,2,2,test,test,version_managed
ORCID__ORCID-Source,orcid-internal-api,org.apache.httpcomponents:httpclient,4.5.13,4.5.5,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,org.apache.httpcomponents:httpcore,4.4.4,4.4.9,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-internal-api,com.squareup.okio:okio,1.14.1,1.14.0,2,3,test,test,omitted_conflict
ORCID__ORCID-Source,orcid-internal-api,org.slf4j:slf4j-api,1.7.36,1.7.25,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,commons-io:commons-io,2.7,2.8.0,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,com.fasterxml.jackson.core:jackson-core,2.13.1,2.14.1,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,com.fasterxml.jackson.core:jackson-databind,2.13.1,2.14.1,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,com.sun.xml.bind:jaxb-impl,2.3.3,2.3.6,1,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,com.google.guava:guava,32.0.0-jre,31.1-jre,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,2.14.1,2.14.0,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,jakarta.xml.bind:jakarta.xml.bind-api,2.3.3,2.3.2,1,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.slf4j:slf4j-api,1.7.13,1.7.35,2,5,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.checkerframework:checker-qual,3.42.0,3.33.0,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,commons-logging:commons-logging,1.2,1.0.3,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,commons-logging:commons-logging,1.2,1.1.3,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,commons-codec:commons-codec,1.9,1.15,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,org.javassist:javassist,3.25.0-GA,3.27.0-GA,3,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,net.bytebuddy:byte-buddy,1.10.5,1.10.17,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,javax.xml.bind:jaxb-api,2.3.0,2.3.1,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.jboss.logging:jboss-logging,3.4.1.Final,3.3.2.Final,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,javax.xml.bind:jaxb-api,2.3.0,2.3.1,2,3,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.jboss.logging:jboss-logging,3.4.1.Final,3.3.2.Final,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.hibernate:hibernate-core,5.4.27.Final,5.3.6.Final,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.apache.httpcomponents:httpclient,4.5.13,4.5.6,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,org.apache.httpcomponents:httpcore,4.4.4,4.4.10,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-message-listener,org.slf4j:slf4j-api,1.7.13,1.7.24,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-message-listener,org.slf4j:slf4j-api,1.7.13,1.7.25,2,2,compile,compile,omitted_conflict
ORCID__ORCID-Source,orcid-persistence,org.springframework:spring-webmvc,5.3.20,4.3.30.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-persistence,org.springframework.security:spring-security-config,5.6.2,4.2.20.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-persistence,org.springframework.security:spring-security-web,5.6.2,4.2.20.RELEASE,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-persistence,commons-codec:commons-codec,1.9,1.14,2,2,compile,compile,version_managed
ORCID__ORCID-Source,orcid-persistence,net.bytebuddy:byte-buddy,1.10.5,1.10.17,3,3,compile,compile,version_managed
ORCID__ORCID-Source,orcid-persistence,com.fasterxml:classmate,1.3.1,1.5.1,2,3,compile,compile,omitted_conflict
