project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
aikar__commands,brigadier,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,bukkit,org.jetbrains:annotations,23.0.0,13.0,1,2,provided,compile,omitted_conflict
aikar__commands,bukkit,com.google.guava:guava,31.0.1-jre,31.1-jre,1,2,provided,provided,omitted_conflict
aikar__commands,bukkit,com.google.code.gson:gson,2.10,2.8.8,2,3,provided,provided,omitted_conflict
aikar__commands,bukkit,com.google.guava:guava,31.0.1-jre,21.0,1,2,provided,provided,omitted_conflict
aikar__commands,bukkit,org.slf4j:slf4j-api,1.8.0-beta4,1.7.30,2,4,provided,provided,omitted_conflict
aikar__commands,bukkit,org.jetbrains:annotations,23.0.0,24.0.1,1,3,provided,provided,omitted_conflict
aikar__commands,bukkit,org.jetbrains:annotations,23.0.0,24.0.1,1,3,provided,provided,omitted_conflict
aikar__commands,bukkit,org.jetbrains:annotations,23.0.0,22.0.0,1,4,provided,provided,omitted_conflict
aikar__commands,bukkit,com.google.code.gson:gson,2.10,2.8.0,2,2,provided,provided,omitted_conflict
aikar__commands,bukkit,org.slf4j:slf4j-api,1.8.0-beta4,1.7.36,2,3,provided,provided,omitted_conflict
aikar__commands,bukkit,com.google.guava:guava,31.0.1-jre,21.0,1,2,provided,provided,omitted_conflict
aikar__commands,bukkit,com.google.code.gson:gson,2.10,2.8.0,2,2,provided,provided,omitted_conflict
aikar__commands,bukkit,org.yaml:snakeyaml,2.0,1.18,2,2,provided,provided,omitted_conflict
aikar__commands,bukkit,org.checkerframework:checker-qual,3.21.0,3.12.0,2,2,provided,provided,omitted_conflict
aikar__commands,bukkit,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,bungee,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,core,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,jda,org.jetbrains:annotations,23.0.0,16.0.1,1,2,provided,provided,omitted_conflict
aikar__commands,jda,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,jda5,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,3,5,provided,provided,omitted_conflict
aikar__commands,jda5,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,5,5,provided,provided,omitted_conflict
aikar__commands,jda5,org.jetbrains:annotations,23.0.0,13.0,1,5,provided,provided,omitted_conflict
aikar__commands,jda5,com.google.errorprone:error_prone_annotations,2.7.1,2.22.0,2,3,provided,provided,omitted_conflict
aikar__commands,jda5,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,paper,com.google.guava:guava,31.0.1-jre,31.1-jre,1,2,provided,provided,omitted_conflict
aikar__commands,paper,com.google.code.gson:gson,2.10,2.8.8,2,3,provided,provided,omitted_conflict
aikar__commands,paper,com.google.guava:guava,31.0.1-jre,21.0,1,3,provided,provided,omitted_conflict
aikar__commands,paper,org.slf4j:slf4j-api,1.8.0-beta4,1.7.30,2,4,provided,provided,omitted_conflict
aikar__commands,paper,org.jetbrains:annotations,23.0.0,24.0.1,1,3,provided,provided,omitted_conflict
aikar__commands,paper,org.jetbrains:annotations,23.0.0,24.0.1,1,3,provided,provided,omitted_conflict
aikar__commands,paper,org.jetbrains:annotations,23.0.0,22.0.0,1,4,provided,provided,omitted_conflict
aikar__commands,paper,com.google.code.gson:gson,2.10,2.8.0,2,3,provided,provided,omitted_conflict
aikar__commands,paper,org.slf4j:slf4j-api,1.8.0-beta4,1.7.36,2,3,provided,provided,omitted_conflict
aikar__commands,paper,com.google.guava:guava,31.0.1-jre,31.1-jre,1,2,provided,provided,omitted_conflict
aikar__commands,paper,org.checkerframework:checker-qual,3.21.0,3.12.0,2,2,provided,provided,omitted_conflict
aikar__commands,paper,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,sponge,com.google.guava:guava,31.0.1-jre,17.0,1,2,provided,provided,omitted_conflict
aikar__commands,sponge,com.google.guava:guava,31.0.1-jre,16.0.1,1,3,provided,provided,omitted_conflict
aikar__commands,sponge,com.google.guava:guava,31.0.1-jre,17.0,1,2,provided,provided,omitted_conflict
aikar__commands,sponge,com.google.guava:guava,31.0.1-jre,17.0,1,2,provided,provided,omitted_conflict
aikar__commands,sponge,com.google.code.findbugs:jsr305,1.3.9,3.0.2,2,2,provided,provided,omitted_conflict
aikar__commands,sponge,org.junit.jupiter:junit-jupiter-api,5.8.2,5.8.1,1,2,test,test,omitted_conflict
aikar__commands,sponge10,org.jetbrains:annotations,23.0.0,22.0.0,1,4,provided,provided,omitted_conflict
aikar__commands,sponge10,org.apache.logging.log4j:log4j-api,2.19.0,2.8.1,2,3,provided,provided,omitted_conflict
