project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
fast-excel__fastexcel,fastexcel,org.apache.poi:poi,5.4.1,5.3.0,2,2,compile,compile,version_managed
fast-excel__fastexcel,fastexcel,org.apache.poi:poi-ooxml,5.4.1,5.3.0,2,2,compile,compile,version_managed
fast-excel__fastexcel,fastexcel,commons-codec:commons-codec,1.16.1,1.17.1,3,4,compile,compile,omitted_conflict
fast-excel__fastexcel,fastexcel-core,commons-codec:commons-codec,1.16.1,1.17.1,2,3,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
fastexcel,19,,,,,,,,
fastexcel-core,19,,,,,,,,
fastexcel-support,2,,,,,,,,
