project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
hibernate__hibernate-demos,hiking-demo,com.fasterxml:classmate,1.3.4,1.3.1,2,3,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.3.0.Final,2,3,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.javassist:javassist,3.18.1-GA,3.20.0-GA,3,4,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,com.fasterxml:classmate,1.3.4,1.3.0,2,4,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.3.0.Final,2,3,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.javassist:javassist,3.18.1-GA,3.20.0-GA,3,4,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.3.0.Final,2,3,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,3,provided,provided,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.core:arquillian-core-api,1.1.12.Final,1.1.2.Final-wildfly-1,2,2,compile,compile,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.testenricher:arquillian-testenricher-cdi,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.testenricher:arquillian-testenricher-ejb,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.testenricher:arquillian-testenricher-initialcontext,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.testenricher:arquillian-testenricher-resource,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.protocol:arquillian-protocol-servlet,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss:jandex,2.0.3.Final,1.2.1.Final,4,5,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.arquillian.protocol:arquillian-protocol-jmx,1.1.12.Final,1.1.2.Final-wildfly-1,3,3,test,test,version_managed
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.3.GA,2,3,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.4.GA,2,2,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.xnio:xnio-api,3.3.0.Final,3.2.0.Final,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.3.GA,2,3,provided,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.marshalling:jboss-marshalling,1.4.9.Final,1.4.2.Final,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.marshalling:jboss-marshalling-river,1.4.9.Final,1.4.2.Final,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.remoting:jboss-remoting,4.0.7.Final,4.0.0.Beta3,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.xnio:xnio-api,3.3.0.Final,3.2.0.Beta4,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.xnio:xnio-nio,3.3.0.Final,3.2.0.Beta4,2,3,test,test,omitted_conflict
hibernate__hibernate-demos,hiking-demo,org.jboss.logging:jboss-logging,3.3.2.Final,3.1.1.GA,2,3,provided,test,omitted_conflict
hibernate__hibernate-demos,hibernate-ogm-demo-nosql-with-hibernate-ogm-101-part-1,org.jboss.logging:jboss-logging,3.1.4.GA,3.1.3.GA,3,3,compile,compile,version_managed
hibernate__hibernate-demos,hibernate-ogm-demo-nosql-with-hibernate-ogm-101-part-2,org.jboss.logging:jboss-logging,3.1.4.GA,3.1.3.GA,3,3,compile,compile,version_managed
hibernate__hibernate-demos,hibernate-ogm-demo-nosql-with-hibernate-ogm-101-part-2,org.hibernate:hibernate-core,4.3.8.Final,4.3.7.Final,2,2,compile,compile,version_managed
hibernate__hibernate-demos,managed-jpa,org.osgi:org.osgi.core,4.3.1,4.3.0,1,2,compile,compile,omitted_conflict
