project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.errorprone:error_prone_annotations,2.23.0,2.21.1,2,3,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.protobuf:protobuf-java,3.25.3,3.25.1,1,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.protobuf:protobuf-java,3.25.3,3.25.1,1,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,commons-logging:commons-logging,1.3.0,1.2,1,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.guava:guava,32.1.3-android,32.1.2-jre,2,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.api:api-common,2.26.0,1.10.6,1,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.guava:guava,32.1.3-android,32.1.3-jre,2,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.errorprone:error_prone_annotations,2.23.0,2.24.1,2,2,compile,compile,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.guava:guava,32.1.3-android,23.0,2,2,compile,runtime,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,4,6,runtime,runtime,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,6,6,runtime,runtime,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,io.opentelemetry:opentelemetry-extension-incubator,1.35.0-alpha,1.34.1-alpha,2,3,runtime,runtime,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,io.opentelemetry:opentelemetry-extension-incubator,1.35.0-alpha,1.34.1-alpha,2,3,runtime,runtime,omitted_conflict
hyperledger__fabric-sdk-java,hyperledger__fabric-sdk-java,com.google.protobuf:protobuf-java,3.25.3,3.23.4,1,2,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
hyperledger__fabric-sdk-java,83,,,,,,,,
