project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
liquibase__liquibase,liquibase-cdi,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cdi,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cdi,org.junit.platform:junit-platform-launcher,1.12.2,1.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cdi,org.junit.jupiter:junit-jupiter-engine,5.12.2,5.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cdi,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.enterprise:jakarta.enterprise.cdi-api,4.1.0,4.0.1,1,2,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.annotation:jakarta.annotation-api,3.0.0,2.1.1,2,4,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.el:jakarta.el-api,6.0.0,5.0.1,2,4,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.interceptor:jakarta.interceptor-api,2.2.0,2.1.0,2,3,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.enterprise:jakarta.enterprise.cdi-api,4.1.0,4.0.1,1,2,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.enterprise:jakarta.enterprise.cdi-api,4.1.0,4.0.1,1,2,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,jakarta.interceptor:jakarta.interceptor-api,2.2.0,2.1.0,2,3,provided,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cdi-jakarta,org.junit.platform:junit-platform-launcher,1.12.2,1.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cdi-jakarta,org.junit.jupiter:junit-jupiter-engine,5.12.2,5.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cdi-jakarta,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cli,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cli,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cli,info.picocli:picocli,4.7.7,4.7.6,1,3,compile,test,omitted_conflict
liquibase__liquibase,liquibase-cli,org.junit.platform:junit-platform-launcher,1.12.2,1.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cli,org.junit.jupiter:junit-jupiter-engine,5.12.2,5.12.0,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cli,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.slf4j:slf4j-api,2.0.17,1.7.36,2,5,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,com.fasterxml.jackson.core:jackson-annotations,2.18.2,2.10.3,4,6,compile,compile,omitted_conflict
