Dependency,Current_Version,Latest_Minor_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.cmp.JarArchiveComparator,loadClass,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,addExcludeFromArgument,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,addIncludeFromArgument,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,createFilterList,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,getHtmlOutputFile,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,getHtmlStylesheet,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,getNewClassPath,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,getOldClassPath,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,getXmlOutputFile,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setAccessModifier,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setHtmlOutputFile,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setHtmlStylesheet,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setNewClassPath,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setOldClassPath,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.config.Options,setXmlOutputFile,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.AccessModifier,toModifier,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotation,getNewAnnotation,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotation,getOldAnnotation,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotation,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotationElement,getNewValue,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotationElement,getOldValue,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotationElement,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotationElementValue,getName,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAnnotationElementValue,setName,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAttribute,getNewAttribute,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAttribute,getOldAttribute,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiAttribute,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiBehavior,enhanceGenericTypeToParameters,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiBehavior,extractSyntheticAttribute,METHOD_CHANGE,METHOD_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiBehavior,geNewLineNumber,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiBehavior,getOldLineNumber,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiBehavior,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClass,getNewClass,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClass,getOldClass,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClass,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClassType,getNewTypeOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClassType,getOldTypeOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiClassType,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiConstructor,<class>,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiConstructor,getNewConstructor,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiConstructor,getOldConstructor,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiConstructor,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiException,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiField,getNewFieldOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiField,getOldFieldOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiField,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiGenericTemplate,getNewTypeOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiGenericTemplate,getOldTypeOptional,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiGenericTemplate,<constructor>,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiHasLineNumber,geNewLineNumber,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiHasLineNumber,getOldLineNumber,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiMethod,<class>,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiMethod,getNewMethod,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiMethod,getOldMethod,METHOD_CHANGE,METHOD_RETURN_TYPE_CHANGED,false,false
com.github.siom79.japicmp:japicmp,0.20.0,0.23.1,japicmp.model.JApiMethod,toString,METHOD_CHANGE,METHOD_REMOVED,false,false
